expression,sentence
"P[x+2,y*6,z/3] = P[x+4,y*12,z/6] * 9","The value at the position where the first-dimensional variable is 2 more, the second-dimensional variable is multiplied by 6, and the third-dimensional variable is divided by 3 is 9 times the value at the position where the first-dimensional variable is 4 more, the second-dimensional variable is multiplied by 12, and the third-dimensional variable is divided by 6."
"F[m+3,n/2] = F[m+6,n/4] - 6",The value at the position where the first-dimensional variable is 3 more and the second-dimensional variable is divided by 2 is 6 less than the value at the position where the first-dimensional variable is 6 more and the second-dimensional variable is divided by 4.
"L[x/4,y*3] = L[x/8,y*6] + 8",The value at the position where the first-dimensional variable is divided by 4 and the second-dimensional variable is multiplied by 3 is 8 more than the value at the position where the first-dimensional variable is divided by 8 and the second-dimensional variable is multiplied by 6.
"C[r+1,s-5] = C[r+2,s-10] * 5",The value at the position where the first-dimensional variable is 1 more and the second-dimensional variable is 5 less is 5 times the value at the position where the first-dimensional variable is 2 more and the second-dimensional variable is 10 less.
"T[u-2,v*4] = T[u-4,v*8] / 3",The value at the position where the first-dimensional variable is 2 less and the second-dimensional variable is multiplied by 4 is one-third the value at the position where the first-dimensional variable is 4 less and the second-dimensional variable is multiplied by 8.
"H[p/3,q+6] = H[p/6,q+12] - 11",The value at the position where the first-dimensional variable is divided by 3 and the second-dimensional variable is 6 more is 11 less than the value at the position where the first-dimensional variable is divided by 6 and the second-dimensional variable is 12 more.
"M[x+5,y-3] = M[x+10,y-6] + 7",The value at the position where the first-dimensional variable is 5 more and the second-dimensional variable is 3 less is 7 more than the value at the position where the first-dimensional variable is 10 more and the second-dimensional variable is 6 less.
"D[a*4,b/5] = D[a*8,b/10] * 6",The value at the position where the first-dimensional variable is multiplied by 4 and the second-dimensional variable is divided by 5 is 6 times the value at the position where the first-dimensional variable is multiplied by 8 and the second-dimensional variable is divided by 10.
"P[i-1,j*3] = P[i-2,j*6] / 9",The value at the position where the first-dimensional variable is 1 less and the second-dimensional variable is multiplied by 3 is one-ninth the value at the position where the first-dimensional variable is 2 less and the second-dimensional variable is multiplied by 6.
"L[r+3,s/2] = L[r+6,s/4] - 13",The value at the position where the first-dimensional variable is 3 more and the second-dimensional variable is divided by 2 is 13 less than the value at the position where the first-dimensional variable is 6 more and the second-dimensional variable is divided by 4.
"T[u-4,v*2] = T[u-8,v*4] * 7",The value at the position where the first-dimensional variable is 4 less and the second-dimensional variable is multiplied by 2 is 7 times the value at the position where the first-dimensional variable is 8 less and the second-dimensional variable is multiplied by 4.
